Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,1,3000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1980,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1999,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1996,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1989,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1996,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1985,Mikro,,,,,,,,,,,,
Arcamanik,0,4000000,4200000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1998,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1995,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,2400000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,9000000,1995,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1992,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,4200000,1990,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,9000000,1999,Mikro,,,,,,,,,,,,
Arcamanik,0,3000000,9000000,1996,Mikro,,,,,,,,,,,,
Arcamanik,1,800000,-,1997,Mikro,,,,,,,,,,,,
Arcamanik,0,29500000,300000000,1987,Mikro,,,,,,,,,,,,
Arcamanik,1,30000000,240000000,2006,Mikro,,,,,,,,,,,,
Arcamanik,11,700000000,192000000,2002,Menengah,,,,,,,,,,,,
Arcamanik,0,15000000,180000000,-,Mikro,,,,,,,,,,,,
Arcamanik,0,2000000,180000000,2002,Mikro,,,,,,,,,,,,
Arcamanik,2,-,156000000,2005,Mikro,,,,,,,,,,,,
Arcamanik,15,600000000,120000000,1988,Menengah,,,,,,,,,,,,
Arcamanik,0,1000000,120000000,2004,Mikro,,,,,,,,,,,,
Arcamanik,5,30000000,96000000,2003,Mikro,,,,,,,,,,,,
