Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Bandung Kidul,0,3000000.0,2400000.0,37.0,Mikro
Bandung Kidul,0,14500000.0,9000000.0,39.0,Mikro
Bandung Kidul,1,3000000.0,4200000.0,17.0,Mikro
Bandung Kidul,0,10000000.0,4200000.0,26.0,Mikro
Bandung Kidul,1,3000000.0,4200000.0,44.0,Mikro
Bandung Kidul,4,1500000.0,9000000.0,34.0,Mikro
Bandung Kidul,0,3000000.0,9000000.0,22.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,20.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,25.0,Mikro
Bandung Kidul,3,3000000.0,2400000.0,22.0,Mikro
Bandung Kidul,0,3000000.0,9000000.0,19.0,Mikro
Bandung Kidul,2,3000000.0,2400000.0,37.0,Mikro
Bandung Kidul,0,3000000.0,9000000.0,29.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,20.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,21.0,Mikro
Bandung Kidul,3,3000000.0,9000000.0,19.0,Mikro
Bandung Kidul,1,3000000.0,2400000.0,21.0,Mikro
Bandung Kidul,3,3000000.0,4200000.0,21.0,Mikro
Bandung Kidul,2,3000000.0,2400000.0,39.0,Mikro
Bandung Kidul,1,3000000.0,4200000.0,34.0,Mikro
Bandung Kidul,0,3000000.0,9000000.0,25.0,Mikro
Bandung Kidul,20,3000000.0,2400000.0,29.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,37.0,Mikro
Bandung Kidul,0,20000000.0,2400000.0,18.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,49.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,20.0,Mikro
Bandung Kidul,0,3000000.0,9000000.0,23.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,23.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,25.0,Mikro
Bandung Kidul,1,3000000.0,2400000.0,23.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,20.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,23.0,Mikro
Bandung Kidul,2,3000000.0,9000000.0,27.0,Mikro
Bandung Kidul,0,3000000.0,2400000.0,20.0,Mikro
Bandung Kidul,3,3000000.0,9000000.0,31.0,Mikro
Bandung Kidul,3,3000000.0,9000000.0,38.0,Mikro
Bandung Kidul,0,3000000.0,4200000.0,18.0,Mikro
Bandung Kidul,2,106000000.0,300000000.0,14.0,Kecil
Bandung Kidul,2,106000000.0,300000000.0,14.0,Kecil
Bandung Kidul,2,120000000.0,240000000.0,16.0,Kecil
Bandung Kidul,2,250000000.0,180000000.0,13.0,Kecil
Bandung Kidul,0,78000000.0,180000000.0,34.0,Kecil
Bandung Kidul,2,92000000.0,156000000.0,18.0,Kecil
Bandung Kidul,0,35000000.0,156000000.0,17.0,Mikro
Bandung Kidul,0,12000000.0,144000000.0,11.0,Mikro
Bandung Kidul,2,75000000.0,132000000.0,20.0,Kecil
Bandung Kidul,2,200000000.0,120000000.0,24.0,Kecil
Bandung Kidul,0,2000000.0,108000000.0,23.0,Mikro
Bandung Kidul,1,95000000.0,108000000.0,29.0,Kecil
Bandung Kidul,1,20000000.0,102000000.0,12.0,Mikro
Bandung Kidul,2,45000000.0,90000000.0,22.0,Mikro
Bandung Kidul,2,8000000.0,84000000.0,17.0,Mikro
Bandung Kidul,2,8000000.0,84000000.0,12.0,Mikro
Bandung Kidul,0,30000000.0,84000000.0,11.0,Mikro
Bandung Kidul,2,600000000.0,78000000.0,17.0,Menengah
Bandung Kidul,0,20000000.0,60000000.0,15.0,Mikro
Bandung Kidul,0,3500000.0,54000000.0,11.0,Mikro
Bandung Kidul,1,96000000.0,48000000.0,24.0,Kecil
Bandung Kidul,2,125000000.0,42000000.0,12.0,Kecil
Bandung Kidul,2,150000000.0,36000000.0,16.0,Kecil
Bandung Kidul,1,25000000.0,36000000.0,16.0,Mikro
Bandung Kidul,0,47000000.0,36000000.0,19.0,Mikro
Bandung Kidul,0,52500000.0,20400000.0,18.0,Mikro
Bandung Kidul,0,10000000.0,18000000.0,14.0,Mikro
Bandung Kidul,16,200000000.0,2400000000.0,30.0,Menengah
Bandung Kidul,5,215000000.0,1800000000.0,13.0,Kecil
